job_id,title,timestamp,original,is_candidate,matched_terms,exclusion_terms
85089141064114886,Regional Materials Program Manager Global Capacity Delivery,20230101143918,https://careers.google.com/jobs/results/85089141064114886-regional-materials-program-manager-global-capacity-delivery/,no,,
96818331136205510,,20230101152243,https://careers.google.com/jobs/results/96818331136205510/,no,,
121798686934999750,Software Technical Lead Filestore Google Cloud,20230101174239,https://careers.google.com/jobs/results/121798686934999750-software-technical-lead-filestore-google-cloud/,no,,
95789910474007238,Senior Staff Software Engineer Google Cloud Business Platforms United States,20230101232632,https://careers.google.com/jobs/results/95789910474007238-senior-staff-software-engineer-google-cloud-business-platforms-united-states/?distance=50&employment_type=FULL_TIME&page=2&sort_by=date,no,,
101257159028679366,Low Power Engineer,20230102103235,https://careers.google.com/jobs/results/101257159028679366-low-power-engineer/,no,,
112810040567440070,Analytical Linguist,20230102103235,https://careers.google.com/jobs/results/112810040567440070-analytical-linguist/?src=Online/Job%20Board/indeed,no,,
132613684900831942,Senior Software Engineer Google Cloud Networking,20230102103235,https://careers.google.com/jobs/results/132613684900831942-senior-software-engineer-google-cloud-networking/,no,,
132801357355590342,Technical Account Manager Public Sector Google Cloud,20230102103235,https://careers.google.com/jobs/results/132801357355590342-technical-account-manager-public-sector-google-cloud/,no,,
142791623084778182,Hardware Reliability Engineer Google Cloud,20230102103235,https://careers.google.com/jobs/results/142791623084778182-hardware-reliability-engineer-google-cloud/,no,,
96103816748769990,Director Product Management Geo Automotive,20230102103235,https://careers.google.com/jobs/results/96103816748769990-director-product-management-geo-automotive/,no,,
142588879153570502,Software Engineer Iii,20230102180617,https://careers.google.com/jobs/results/142588879153570502-software-engineer-iii/,no,,
141851176485167814,Strategic Partnerships Manager News Global Partnerships,20230104121322,https://careers.google.com/jobs/results/141851176485167814-strategic-partnerships-manager-news-global-partnerships/,no,,
111066999464829638,Managing Director Google Italy,20230104121502,https://careers.google.com/jobs/results/111066999464829638-managing-director-google-italy/,no,,
