job_id,generation,timestamp,source_url,http_status,page_status,job_title,screen_decision,matched_terms,excluded_terms,african_language,other_language,market_named,city_named,country_of_city,notes
6704494100210518285,lifeattiktok,20250516050304,https://lifeattiktok.com/search/6704494100210518285,200,detail,Content Moderator - Arabic,include,content moderat*; moderat*,,,arabic,,,,
6756144184572250381,lifeattiktok,20250206224859,https://lifeattiktok.com/search/6756144184572250381,200,detail,Monetization Strategy - Middle East,drop,,,,,MENA,,,
6764612043929553160,lifeattiktok,20250401163551,https://lifeattiktok.com/search/6764612043929553160?_rsc=17mgk,200,js_shell,,unusable,,,,,,,,
6793962806296185095,lifeattiktok,20250122110314,https://lifeattiktok.com/search/6793962806296185095,200,detail,Content Moderator (Short Video) - VN,include,content moderat*; moderat*,,,,Vietnam,,,
6794925391975811342,lifeattiktok,20250315075929,https://lifeattiktok.com/search/6794925391975811342,200,detail,Senior Data Scientist,drop,,,,,,,,
6798055154621876488,lifeattiktok,20250315070942,https://lifeattiktok.com/search/6798055154621876488,200,detail,Content Moderator - German Speaker,include,content moderat*; moderat*,,,german,,,,
6802349730597701896,lifeattiktok,20260417092421,https://lifeattiktok.com/search/6802349730597701896,200,detail,Research Engineer in Machine Learning Music（SAMI）,drop,,,,,,,,
6802352354340374798,lifeattiktok,20251015120235,https://lifeattiktok.com/search/6802352354340374798,200,detail,Research Scientist in Speech & Audio（SAMI）,drop,,,,,,,,
6810744474852460814,lifeattiktok,20250718101752,https://lifeattiktok.com/search/6810744474852460814,200,detail,Brand Partnerships Manager (CPG - Food),drop,,,,,,,,
6823479011625240846,lifeattiktok,20250912225810,https://lifeattiktok.com/search/6823479011625240846,200,detail,Content Quality Specialist - Korea,include,content quality,,,,Korea,,,
6830867197998778631,lifeattiktok,20250929030005,https://lifeattiktok.com/search/6830867197998778631,200,detail,Evaluation Search Operation Specialist - Korean,drop,,,,korean,,,,
6834664619631741192,lifeattiktok,20250907214248,https://lifeattiktok.com/search/6834664619631741192,200,detail,Data Engineer - Data Platform,drop,,,,,,,,
6840048729111038216,lifeattiktok,20250516040441,https://lifeattiktok.com/search/6840048729111038216,200,detail,Ads Quality Specialist (Arabic),drop,,,,arabic,,,,
6843801540161390856,lifeattiktok,20250125071144,https://lifeattiktok.com/search/6843801540161390856?utm_campaign=Mobile-Growth-News&utm_medium=web&utm_source=Mobile_Growth_News_Issue_29,200,detail,"Growth Strategy Manager, User Growth",drop,,,,,,,,
6847356388894624013,lifeattiktok,20250506104240,https://lifeattiktok.com/search/6847356388894624013?spread=5MWH5CQ,200,detail,"Product Policy Manager, Feature - Trust & Safety",include,trust & safety; policy manager,,,,,,,
6850005799155632392,lifeattiktok,20250427034116,https://lifeattiktok.com/search/6850005799155632392,200,detail,"Eco Operations Quality Assurance, Trust & Safety, Korea",include,trust & safety,,,,Korea,,,
6854803752680884487,lifeattiktok,20251016012309,https://lifeattiktok.com/search/6854803752680884487,200,detail,Data Science Manager - TikTok Ads,drop,,,,,,,,
6856728637074442503,lifeattiktok,20250404011718,https://lifeattiktok.com/search/6856728637074442503,200,detail,"Content Moderator — Khmer, based in Thailand",include,content moderat*; moderat*,,,khmer,Thailand,,,
6858107610982287623,lifeattiktok,20251231040652,https://lifeattiktok.com/search/6858107610982287623,200,detail,Content Labeller,include,content label*,,,,,,,
6859728777694873869,lifeattiktok,20260520041104,https://lifeattiktok.com/search/6859728777694873869,200,detail,"Software Engineer, Real-time Audio C++ SAMI",drop,,,,,,,,
6870317668638460168,lifeattiktok,20250427203246,https://lifeattiktok.com/search/6870317668638460168,200,detail,"Regional Product Policy Lead, EMEA - Trust & Safety",include,trust & safety; policy lead,,,,EMEA,,,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20250427203246id_/https://lif"
