platform,job_id,source_url,capture_date,job_title,employer,location_raw,primary_city,primary_country,region_group,multi_location,evidence_level,screen_decision,matched_terms,african_language,other_language,market_named,notes
TikTok,7381903920673376562,https://lifeattiktok.com/search/7381903920673376562,2025-08-14,"Business Intelligence Analyst, Trust & Safety - USDS",TikTok,,,,,no,title_only,include,trust & safety,,,,page_status=detail
TikTok,7386993309929474342,https://lifeattiktok.com/search/7386993309929474342,2024-12-08,Policy Training Development Lead EMEA - Trust and Safety,TikTok,,,,,no,title_only,include,trust and safety,,,EMEA,page_status=detail
TikTok,7387429545751742757,https://lifeattiktok.com/search/7387429545751742757,2024-12-08,Quality Operations Team Lead - Trust and Safety - London,TikTok,London,London,United Kingdom,Other,no,title_only,include,trust and safety,,,,page_status=detail
TikTok,7389196656468871474,https://lifeattiktok.com/search/7389196656468871474?spread=5MWH5CQ,2025-02-06,"Risk Manager, Trust & Safety",TikTok,,,,,no,title_only,include,trust & safety,,,,page_status=detail
TikTok,7390501770492365094,https://lifeattiktok.com/search/7390501770492365094?spread=5MWH5CQ,2026-01-24,"Program Manager, Core Safety, Real World Harm - Trust & Safety - Washington D.C.",TikTok,Washington,Washington,United States,Hub,no,title_only,include,trust & safety,,,,page_status=detail
TikTok,7392505027803859227,https://lifeattiktok.com/search/7392505027803859227,2025-04-26,"Public Policy Manager, E-Commerce, Thailand",TikTok,,,,,no,title_only,include,policy manager; public policy,,,Thailand,page_status=detail
TikTok,7394350355264227594,https://lifeattiktok.com/search/7394350355264227594?spread=5MWH5CQ,2024-12-21,"Frontend Engineer, Global E-commerce (Governance Service) - 2025 Start",TikTok,,,,,no,title_only,include,governance,,,,page_status=detail
TikTok,7394866658823620891,https://lifeattiktok.com/search/7394866658823620891,2025-04-24,Operations Intern (Trust & Safety - Wellbeing) - 2025 Summer(BS/MS),TikTok,,,,,no,title_only,include,trust & safety,,,,page_status=detail
TikTok,7395404609059146034,https://lifeattiktok.com/search/7395404609059146034,2025-12-24,Platform User Operation Specialist - Trust and Safety - 2025 Start,TikTok,,,,,no,title_only,include,trust and safety,,,,page_status=detail
TikTok,7397453649348479270,https://lifeattiktok.com/search/7397453649348479270?spread=5MWH5CQ,2026-03-15,Machine Learning Engineer Intern (E-commerce Governance Algorithms) - 2025 Summer/Fall (BS/MS),TikTok,,,,,no,title_only,include,governance,,,,page_status=detail
TikTok,7397453790515923227,https://lifeattiktok.com/search/7397453790515923227,2025-05-01,Machine Learning Engineer Intern (E-commerce Governance Algorithms) - 2025 Summer/Fall (PhD),TikTok,,,,,no,title_only,include,governance,,,,page_status=detail
TikTok,7397455103747836210,https://lifeattiktok.com/search/7397455103747836210,2025-10-11,Data Scientist Intern (E-commerce Governance Algorithms) - 2025 Summer/Fall (BS/MS),TikTok,,,,,no,title_only,include,governance,,,,page_status=detail
TikTok,7397455406417463603,https://lifeattiktok.com/search/7397455406417463603,2025-10-11,Data Scientist Intern (E-commerce Governance Algorithms) - 2025 Summer/Fall (PhD),TikTok,,,,,no,title_only,include,governance,,,,page_status=detail
TikTok,7397455434090694921,https://lifeattiktok.com/search/7397455434090694921,2025-07-05,Data Scientist Intern (E-commerce Governance Algorithms) - 2025 Summer/Fall (BS/MS),TikTok,,,,,no,title_only,include,governance,,,,page_status=detail
TikTok,7397457236119931146,https://lifeattiktok.com/search/7397457236119931146,2025-10-11,Data Scientist Intern (E-commerce Governance Algorithms) - 2025 Summer/Fall (PhD),TikTok,,,,,no,title_only,include,governance,,,,page_status=detail
TikTok,7398140655631681843,https://lifeattiktok.com/search/7398140655631681843,2025-04-28,Government Relations and Public Policy Manager - Global Public Policy - Southern Africa,TikTok,,,,,no,title_only,include,policy manager; public policy,,,Africa,page_status=detail
TikTok,7399490400585435402,https://lifeattiktok.com/search/7399490400585435402,2025-04-01,"Content Moderator, Urdu Speaker - Trust & Safety",TikTok,,,,,no,title_only,include,trust & safety; content moderat*; moderat*,,urdu,,page_status=detail
